"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0062205P";"Université";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";6
"0062205P";"Université";"MCF";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";12
"0062205P";"Université";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";1
"0062205P";"Université";"MCF";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";15
"0062205P";"Université";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";26
"0062205P";"Université";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";48
"0062205P";"Université";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";11
"0062205P";"Université";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";7
"0062205P";"Université";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";9
"0062205P";"Université";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";12
"0062205P";"Université";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";14
"0062205P";"Université";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";7
"0062205P";"Université";"MCF";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";10
"0062205P";"Université";"MCF";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";4
"0062205P";"Université";"MCF";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";5
"0062205P";"Université";"MCF";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";2
"0062205P";"Université";"MCF";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";4
"0062205P";"Université";"MCF";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";4
"0062205P";"Université";"MCF";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";4
"0062205P";"Université";"MCF";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";1
"0062205P";"Université";"MCF";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";1
"0062205P";"Université";"MCF";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";1
"0062205P";"Université";"MCF";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";1
"0062205P";"Université";"MCF";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";1
"0062205P";"Université";"MCF";56;"56-Développement, croissance et prévention";"Odontologie";"Odontologie";1
"0062205P";"Université";"MCF";57;"57-Chirurgie orale - parondontologie - biologie orale";"Odontologie";"Odontologie";5
"0062205P";"Université";"MCF";58;"58-Réhabilitation orale";"Odontologie";"Odontologie";7
"0062205P";"Université";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0062205P";"Université";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";23
"0062205P";"Université";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";15
"0062205P";"Université";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";15
"0062205P";"Université";"MCF";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0062205P";"Université";"MCF";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";17
"0062205P";"Université";"MCF";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";6
"0062205P";"Université";"MCF";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";3
"0062205P";"Université";"MCF";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";6
"0062205P";"Université";"MCF";70;"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";9
"0062205P";"Université";"MCF";71;"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";16
"0062205P";"Université";"MCF";72;"72-Epistémologie, histoire des sciences et des techniques";"Pluridisciplinaire";"Lettres et sciences humaines";3
"0062205P";"Université";"MCF";73;"73-Cultures et langues régionales";"Pluridisciplinaire";"Lettres et sciences humaines";1
"0062205P";"Université";"MCF";74;"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";19
"0062205P";"Université";"PR";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";13
"0062205P";"Université";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";10
"0062205P";"Université";"PR";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";4
"0062205P";"Université";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";1
"0062205P";"Université";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";19
"0062205P";"Université";"PR";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";14
"0062205P";"Université";"PR";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";3
"0062205P";"Université";"PR";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";2
"0062205P";"Université";"PR";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";7
"0062205P";"Université";"PR";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";3
"0062205P";"Université";"PR";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";6
"0062205P";"Université";"PR";13;"13-Etudes slaves et baltes";"Langues et littératures";"Lettres et sciences humaines";1
"0062205P";"Université";"PR";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";5
"0062205P";"Université";"PR";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";14
"0062205P";"Université";"PR";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";3
"0062205P";"Université";"PR";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";6
"0062205P";"Université";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";2
"0062205P";"Université";"PR";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";1
"0062205P";"Université";"PR";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";4
"0062205P";"Université";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";5
"0062205P";"Université";"PR";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";5
"0062205P";"Université";"PR";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";16
"0062205P";"Université";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";16
"0062205P";"Université";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";29
"0062205P";"Université";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";5
"0062205P";"Université";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";3
"0062205P";"Université";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";4
"0062205P";"Université";"PR";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";6
"0062205P";"Université";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";6
"0062205P";"Université";"PR";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";5
"0062205P";"Université";"PR";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";6
"0062205P";"Université";"PR";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";6
"0062205P";"Université";"PR";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";6
"0062205P";"Université";"PR";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";3
"0062205P";"Université";"PR";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";4
"0062205P";"Université";"PR";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";4
"0062205P";"Université";"PR";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";4
"0062205P";"Université";"PR";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";9
"0062205P";"Université";"PR";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";7
"0062205P";"Université";"PR";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";8
"0062205P";"Université";"PR";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";6
"0062205P";"Université";"PR";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";7
"0062205P";"Université";"PR";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";7
"0062205P";"Université";"PR";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";4
"0062205P";"Université";"PR";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";9
"0062205P";"Université";"PR";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";3
"0062205P";"Université";"PR";56;"56-Développement, croissance et prévention";"Odontologie";"Odontologie";3
"0062205P";"Université";"PR";57;"57-Chirurgie orale - parondontologie - biologie orale";"Odontologie";"Odontologie";1
"0062205P";"Université";"PR";58;"58-Réhabilitation orale";"Odontologie";"Odontologie";5
"0062205P";"Université";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0062205P";"Université";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";10
"0062205P";"Université";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";11
"0062205P";"Université";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0062205P";"Université";"PR";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";4
"0062205P";"Université";"PR";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";4
"0062205P";"Université";"PR";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";3
"0062205P";"Université";"PR";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";2
"0062205P";"Université";"PR";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";3
"0062205P";"Université";"PR";70;"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";1
"0062205P";"Université";"PR";71;"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";5
"0062205P";"Université";"PR";73;"73-Cultures et langues régionales";"Pluridisciplinaire";"Lettres et sciences humaines";1
"0062205P";"Université";"PR";74;"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";6
"0101060Y";"Institut ou école extérieur aux universités";"MCF";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";1
"0101060Y";"Institut ou école extérieur aux universités";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";1
"0101060Y";"Institut ou école extérieur aux universités";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";2
"0101060Y";"Institut ou école extérieur aux universités";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";2
"0101060Y";"Institut ou école extérieur aux universités";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";13
"0101060Y";"Institut ou école extérieur aux universités";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";2
"0101060Y";"Institut ou école extérieur aux universités";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";6
"0101060Y";"Institut ou école extérieur aux universités";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";1
"0101060Y";"Institut ou école extérieur aux universités";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0101060Y";"Institut ou école extérieur aux universités";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";13
"0101060Y";"Institut ou école extérieur aux universités";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0101060Y";"Institut ou école extérieur aux universités";"MCF";71;"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";2
"0101060Y";"Institut ou école extérieur aux universités";"MCF";72;"72-Epistémologie, histoire des sciences et des techniques";"Pluridisciplinaire";"Lettres et sciences humaines";1
"0101060Y";"Institut ou école extérieur aux universités";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";1
"0101060Y";"Institut ou école extérieur aux universités";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";5
"0101060Y";"Institut ou école extérieur aux universités";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";3
"0101060Y";"Institut ou école extérieur aux universités";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";2
"0101060Y";"Institut ou école extérieur aux universités";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";1
"0101060Y";"Institut ou école extérieur aux universités";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";10
"0101060Y";"Institut ou école extérieur aux universités";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";12
"0101060Y";"Institut ou école extérieur aux universités";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0130221V";"Institut d'étude politique";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";4
"0130221V";"Institut d'étude politique";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";5
"0130221V";"Institut d'étude politique";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";3
"0130221V";"Institut d'étude politique";"MCF";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0130221V";"Institut d'étude politique";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";1
"0130221V";"Institut d'étude politique";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";1
"0130221V";"Institut d'étude politique";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";2
"0130221V";"Institut d'étude politique";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";1
"0130221V";"Institut d'étude politique";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";5
"0130221V";"Institut d'étude politique";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";4
"0130221V";"Institut d'étude politique";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";2
"0130221V";"Institut d'étude politique";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";1
"0130221V";"Institut d'étude politique";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";1
"0133774G";"Institut ou école extérieur aux universités";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0133774G";"Institut ou école extérieur aux universités";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";1
"0133774G";"Institut ou école extérieur aux universités";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";3
"0133774G";"Institut ou école extérieur aux universités";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";1
"0133774G";"Institut ou école extérieur aux universités";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";1
"0133774G";"Institut ou école extérieur aux universités";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";5
"0133774G";"Institut ou école extérieur aux universités";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";5
"0133774G";"Institut ou école extérieur aux universités";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0133774G";"Institut ou école extérieur aux universités";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";5
"0133774G";"Institut ou école extérieur aux universités";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";6
"0133774G";"Institut ou école extérieur aux universités";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0133774G";"Institut ou école extérieur aux universités";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";3
"0133774G";"Institut ou école extérieur aux universités";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";2
"0133774G";"Institut ou école extérieur aux universités";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";1
"0133774G";"Institut ou école extérieur aux universités";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";2
"0133774G";"Institut ou école extérieur aux universités";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0133774G";"Institut ou école extérieur aux universités";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0133774G";"Institut ou école extérieur aux universités";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0133774G";"Institut ou école extérieur aux universités";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0134009M";"Université";"MCF";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";10
"0134009M";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";56
"0134009M";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";25
"0134009M";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";5
"0134009M";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";3
"0134009M";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";36
"0134009M";"Université";"MCF";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";74
"0134009M";"Université";"MCF";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";25
"0134009M";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";7
"0134009M";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";25
"0134009M";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";3
"0134009M";"Université";"MCF";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";32
"0134009M";"Université";"MCF";12;"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";5
"0134009M";"Université";"MCF";13;"13-Etudes slaves et baltes";"Langues et littératures";"Lettres et sciences humaines";2
"0134009M";"Université";"MCF";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";23
"0134009M";"Université";"MCF";15;"15-Langues, littératures et cultures africaines, asiatiques et d'autres aires";"Langues et littératures";"Lettres et sciences humaines";15
"0134009M";"Université";"MCF";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";44
"0134009M";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";12
"0134009M";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";24
"0134009M";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";25
"0134009M";"Université";"MCF";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";13
"0134009M";"Université";"MCF";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";20
"0134009M";"Université";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";21
"0134009M";"Université";"MCF";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";19
"0134009M";"Université";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";8
"0134009M";"Université";"MCF";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";39
"0134009M";"Université";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";38
"0134009M";"Université";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";82
"0134009M";"Université";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";53
"0134009M";"Université";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";11
"0134009M";"Université";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";33
"0134009M";"Université";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";51
"0134009M";"Université";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";38
"0134009M";"Université";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";18
"0134009M";"Université";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";5
"0134009M";"Université";"MCF";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";18
"0134009M";"Université";"MCF";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";10
"0134009M";"Université";"MCF";37;"37-Météorologie, océanographie physique et physique de l'environnement";"Sciences de la terre";"Sciences";5
"0134009M";"Université";"MCF";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";7
"0134009M";"Université";"MCF";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";1
"0134009M";"Université";"MCF";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";12
"0134009M";"Université";"MCF";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";10
"0134009M";"Université";"MCF";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";10
"0134009M";"Université";"MCF";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";15
"0134009M";"Université";"MCF";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";4
"0134009M";"Université";"MCF";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";3
"0134009M";"Université";"MCF";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";3
"0134009M";"Université";"MCF";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";4
"0134009M";"Université";"MCF";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";2
"0134009M";"Université";"MCF";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";6
"0134009M";"Université";"MCF";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";8
"0134009M";"Université";"MCF";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";1
